LOT,OPERATION,DAYS_AT_OPERATION,GRADE,COATER,RESIST,CLN_CNT,ECO,ONHOLD,HOLD_NOTE,BLEMISH
BEUVF011556,810,82.63390046,AADU40F60F04,RCT03-PCAR,3KPCAR,0,0,Y,BLEMISH,Y
BLNK384361,810,16.36482639,S2L8HC46K1B2,RCT03-PCAR,2LPCAR,0,0,N,,N
BLNK384367,810,16.35395833,S2L8HC46K1B2,RCT03-PCAR,2LPCAR,0,0,N,,N
BLNK384776,810,16.30137731,3NTARK,RCT05-P37,2.4KP37,0,0,N,,N
BLNK384636,810,15.5846412,CM2PSMV333B2,RCT05-PCAR,3KPCAR,0,0,N,,N
BLNK384549,810,15.43311343,L8HC4FA6K3B2,RCT05-PCAR,2LPCAR,0,0,N,,N
BLNK384635,810,15.31994213,CM2PSMV333B2,RCT05-PCAR,3KPCAR,0,0,N,,N
BLNK384358,810,15.13369213,S2L8HC46K1B2,RCT03-PCAR,2LPCAR,0,0,N,,N
BLNK384360,810,15.0187037,S2L8HC46K1B2,RCT03-PCAR,2LPCAR,0,0,N,,N
BLNK384422,810,13.44618056,S2CM2PV331B2,RCT05-PCAR,3KPCAR,0,0,N,,N
BLNK384033,810,12.71505787,S2L8HC46K1B2,RCT03-PCAR,2LPCAR,0,0,N,,N
BLNK385309,810,11.10083333,3NTARK,RCT03-P37,2.4KP37,0,0,N,,N
BLNK383702,810,9.284398148,TR5MOS248,RCT03-PCAR,3KPCAR,0,0,N,,N
BLNK385389,810,9.207997685,3NTARK,RCT03-P37,2.4KP37,0,0,N,,N
BLNK385577,810,6.309907407,3NTARK,RCT03-P37,2.4KP37,0,0,N,,N
BLNK385584,810,6.229398148,3NTARK,RCT03-P37,2.4KP37,0,0,N,,N
BLNK385585,810,6.089490741,3NTARK,RCT03-P37,2.4KP37,0,0,N,,N
BLNK382919,810,5.814675926,S2H10T3SZ1B2,RCT03-N19,1.0KN19,0,1,N,,N
BLNK385335,810,5.203877315,S2L8HC46K1B2,RCT05-PCAR,2LPCAR,0,0,N,,N
BLNK384904,810,4.818344907,CM2PSMV333B2,RCT05-PCAR,3KPCAR,0,0,N,,N
BLNK384491,810,4.816087963,S2L8HC46K1B2,RCT05-PCAR,2LPCAR,0,0,N,,N
BLNK385685,810,4.808032407,3NTARK,RCT05-P37,2.4KP37,0,0,N,,N
BLNK385687,810,4.807303241,3NTARK,RCT05-P37,2.4KP37,0,0,N,,N
BLNK385438,810,2.906770833,STFCPSM3,RCT05-P37,1.7KP37,0,0,N,,N
BLNK385686,810,2.905532407,3NTARK,RCT05-P37,2.4KP37,0,0,N,,N
BLNK385688,810,2.850856481,3NTARK,RCT05-P37,2.4KP37,0,0,N,,N
BLNK385768,810,2.606365741,3NTARK,RCT05-P37,2.4KP37,0,1,N,,N
BLNK385618,810,2.573159722,TR5MOS248,RCT05-PCAR,3KPCAR,0,0,N,,N
BLNK385681,810,1.766527778,C2W0H3B2,RCT05-P53B,1.5KP53,0,0,N,,N
BLNK385909,810,1.590868056,STFCPSM3,RCT03-P37,1.7KP37,0,0,N,,N
BLNK385897,810,0.804930556,S2CM2PV331B2,RCT03-PCAR,3KPCAR,0,0,N,,N
BLNK386080,810,0.403865741,3NTARK,RCT03-P37,2.4KP37,0,0,N,,N
BLNK385416,810,0.287650463,CM2PSMV333B2,RCT05-PCAR,3KPCAR,0,0,N,,N
BLNK386083,810,0.168993056,STFCPSM3,RCT03-P37,1.7KP37,0,0,N,,N
